id,text,i_f25,i_f16,i_f05,i_f01,i_f02,i_f04,i_f15,i_f27,i_f28,i_f30
38,　2月18日，辉瑞与BioNTech宣布，将招募4000名孕妇进行新冠疫苗临床试验，以评估其疫苗在健康孕妇中的安全性和有效性。孕妇将来自美国、阿根廷、巴西、加拿大、智利、莫桑比克、南非、西班牙和英国，要求为18岁以上，怀孕24~34周。研究人员将监测妇女是否有任何不良副作用，包括流产，还将在新生儿出生后六个月内进行随访，以观察母亲的抗体是否会转移到婴儿身上。,0,0,0,0,0,0,0,0,0,0
39,期待，人类的希望,0,0,0,0,0,0,0,0,0,0
40,疫苗已经开始进入预约，首先疫苗是灭活疫苗。灭活疫苗就不存在，因为疫苗而被感染的风险，但是为什么18周岁以下的孩子不能打？还有第二为什么打我1秒之后不能献血？,0,0,0,0,0,0,0,0,0,0
41,什么事情都不要绝对,0,0,0,0,0,0,0,0,0,0
42,三期临床，没有18岁以下人群参与，没有相关数据。我个人推测，以后会逐步放宽接种年龄。,0,0,0,0,0,0,0,0,0,0
43,疫苗并不是绝对灭活，只是微带，完全没有还怎么以毒攻毒，18以下实验数据不足，及自身免疫系统能力强。,0,0,0,0,0,0,0,0,0,0
44,绝对灭活只能高温灭活，那才是绝对灭活,0,0,0,0,0,0,0,0,0,0
45,现在很多疫苗都是病毒降低活性研制出来的。其本身就是病毒，但由于本身活性不强，进入人体后短时间内无法进行大量繁殖，人体白细胞发现抗原后会迅速吞噬分析并形成对应的抗体针对性的对病毒进行消除工作。此后由于身体成功的抵抗过病毒的感染，身体里会形成对应的记忆t细胞。日后再次被同种病毒感染后记忆t细胞会迅速产生抗体，将病毒扼杀在初期完成免疫工作。,0,0,0,0,0,0,0,0,0,0
46,疫苗本身是低活性病毒，刚刚接种疫苗的人当然不能马上献血了。,0,0,0,0,0,0,0,0,0,0
47,【令人揪心的肆虐疫情，对2020年参加中、高考学生的报考、录取和入学，将产生哪些影响？】教育部和各省已决定，2020年春季学期延期开学。疫情流行期间原则上不举办大型聚集性活动和考试等对中高职毕业班学生的影响主要有五大方面：（1）中高职毕业班学生延期、错峰开学：第一，各地明确开学或不开学时间。如江苏、上海、江西、四川、辽宁已明确要求2月17日前不开学；重庆要求2月17日24时前不得开学；浙江、云南、安徽要求2月17日后开学；广东、山东要求2月24日前不得开学；黑龙江、甘肃要求3月1日后开学。第二，未经学校批准，不要提前返校。第三，原则上应错峰开学。（2）特殊类型招生考试推迟进行。如48所高校推迟艺术专业省统考，音乐和舞蹈类面试延期进行。（3）2月陆续开始的各地高职分类招生（高职提前招生、高职自主招生、春季高考）、中职对口单独招生（技能高考）、面向社会人员的高职扩招等都将延期。（4）3-4月份开始的统招专升本（专转本、专插本），以及考研复试等也将延期。（5）全国统一的中、高考时间是否推迟，根据疫情进展再作安排。据央视新闻1+1节目2月2日报道，在被问及中高考考试时间是否将推迟时，教育部应对疫情领导小组办公室主任王登峰表示：对于中高考的考试时间是否将推迟，他表示，高考6月（7-8日）还有一段时间，中考（6月20日左右）也是如此，我们会根据疫情的发展一定会做出相应的安排，今天来讨论这个问题还有点早。,0,0,0,0,0,0,0,0,0,0
48,今年是中国多灾多难的一年，中考和高考的孩子们也不容易，希望疫情能早点过去。,0,0,0,0,0,0,0,0,0,0
49,楼主给个联系方式,0,0,0,0,0,0,0,0,0,0
50,现在第3天了感冒越来越厉害了，这是正常反应么？,0,0,0,0,0,0,0,0,0,0
51,有点担心啊,0,0,0,0,0,0,0,0,0,0
52,摸虚,0,0,0,0,0,0,0,0,0,0
53,同一天打的，现在还有感冒症状,0,0,0,0,0,0,0,0,0,0
54,放松心态，多喝水，别自己把自己吓死了。,0,0,0,0,0,0,0,0,0,0
55,很正常，过几天就消退了,0,0,0,0,0,0,0,0,0,0
56,不正常，要出大事，赶快找打疫苗的机构反应，不然就准备后事吧,0,0,0,0,0,0,0,0,0,0
57,现在咋样了？,0,0,0,0,0,0,0,0,0,0
58,你是不是去的这,0,0,0,0,0,0,0,0,0,0
59,免疫反应。好好吃饭，早睡觉。,0,0,0,0,0,0,0,0,0,0
60,接种疫苗应该不会引起感冒吧！我周围接种过疫苗的人都说除了注射疫苗的那只胳膊的上臂胀痛了三四天之外，没有别的不良反应。,0,0,0,0,0,0,0,0,0,0
61,问下lz，有没有影响性能力,0,0,0,0,0,0,0,0,0,0
62,楼主还在么？,0,0,0,0,0,0,0,0,0,0
63,当前，印度新冠肺炎疫情形势不容乐观，官方数据显示该国累计确诊病例已超200万例。英媒指出，印度仅在短短20天就又增加了100万例，速度超过了美国和巴西。据英国广播公司（BBC）7日报道，印度官方数据显示，目前该国确诊病例数已逾200万例，达2025409例，成为了全球第三个超过200万例的国家。尽管印度的死亡人数超过4万，列全球第五，但考虑到其总人口数，专家认为死亡数字还不算太高。然而，印度政府被指因各种原因低估了新冠肺炎死亡人数，包括延迟报告、如何确定死因是否与新冠病毒有关等等。与此同时，在持续了近两个月的严密封锁后，印度在低死亡率的刺激下重新开放，导致一些地区的病例出现激增。BBC指出，印度用了20天的时间使其病例总数从100万例发展到200万例，这比美国（43天）和巴西（27天）所用的时间都要快。印度每天的新增病例数也非常多，而令该国控制疫情变得困难的原因也与印度的规模、人口和多样性有关。,0,0,0,0,0,0,0,0,0,0
64,啊三，完犊子了，你们看吧，他最后得感染一个亿！,0,0,0,0,0,0,0,0,0,0
65,视频来自：百度贴吧,0,0,0,0,0,0,0,0,0,0
66,很好看啊,0,0,0,0,0,0,0,0,0,0
67,就是我,0,0,0,0,0,0,0,0,0,0
68,加油武汉,0,0,0,0,0,0,0,0,0,0
69,你们不知道珍惜额,0,0,0,0,0,0,0,0,0,0
70,就爱看,0,0,0,0,0,0,0,0,0,0
71,以下是来自知乎的回答之一，供参考随着疫情监测人数增加，强奸率上升，死亡人数大概率超过1千万，因为人口撤离新德里病毒会经历第二次大面积迁移。印度的粮食压力变小，但是外汇压力变大。但是，印度发生独立或者动乱的概率会降低。印度是有强大的医药行业，但是技能点都点在了仿制药上，你让它自己开发个疫苗试试，别说疫苗，就算是疫苗需要的原材料、玻璃瓶、储存疫苗的设备，哪一个不用进口，如果不是中国解决了口罩产能的问题，印度估计连口罩都短缺。美国不会尽力救印度，目前看是直接拒绝援救，之后也就是象征性的救救，大概率是杯水车薪，其他国家就不好说了，反正按照印度的情况，再好的疫苗到了印度都是炮灰。别的国家都是缺呼吸机，印度却缺少氧气，氧气只能让人死慢一点，所以，就算氧气供应充足也无法改变不断上升的数字，要扭转增长趋势，真正应该关注的是印度的疫苗分配情况、人口流动情况、食物调拨情况。古代文献里记载的“横尸遍野、饿殍千里、十室九空、哀鸿遍野”这种情将会出现在将来的印度。印度政府从一开始就没有重视疫情，或者说这些人在政府眼里不配有‘活着的权利’。有钱人会想着逃离印度，但是上飞机需要检疫证明，所以会出现检疫报告造假的产业链，这些印度有钱人将把中东作为跳板，将新变种带到疫情管控不严的国家（没有倒查能力的国家），引发全球第二次疫情浪潮。4、5、6号变异已经在酝酿了，在不知道的某个角落默默潜伏。印度将变成全球最大的“病毒实验室“，剩下的印度人抵抗能力将超过任何其他国家的水平，这就好比当年白人发现美洲的时候，白人带来了天花等流行病导致印第安人大面积死亡。美国救援是次要的，收集病毒数据才是他们的目的，这些人命堆出来的病毒数据在某些劣迹斑斑的国家眼里可是宝藏。印度疫情过后一定会有一波反华运动，用来引导难以控制的“民意”。随着美联储接下来的加息计划实施，印度大概率会出现外汇挤兑，在按照目前印度的情况发展，印度就算控制住了疫情也要几乎不间断地面对破产潮，具体影响目前无法估计。最终，印度将和病毒达成某种平衡，表面上看病毒消失了，实际上变成了常见病，对于印度人来说见怪不怪了，不过次疫情对印度带来的长远影响不会比其他国家（USA）的小。,0,0,0,0,0,0,0,0,0,0
72,🆙,0,0,0,0,0,0,0,0,0,0
73,中国死亡人口年龄统计项目召集志愿者。去陵园骨灰存放地采集信息，愿意参加的私聊我，另招募资料整理员进行数据统计审核，以上全部行为责任和费用自理，想好再私聊,0,0,0,0,0,0,0,0,0,0
74,你是拿国外工资的人吧,0,0,0,0,0,0,0,0,0,0
75,死亡速度被医疗水平所控制,0,0,0,0,0,0,0,0,0,0
76,分享贴子原贴已被屏蔽或删除。来自：tieba.baidu.com/p/7329860855,0,0,0,0,0,0,0,0,0,0
77,一，中国大陆人在公共场合大多自觉佩戴口罩，防护严格。二，中国大陆服务从业人员大多接种疫苗。三，如果遇到非中国本土人面孔，警惕性还是有的。四，我判断风险可控。,0,0,0,0,0,0,0,0,0,0
78,sy的痛苦难以下咽每天都给自己看一遍你还想像以前一样s出那恐怖的血精吗？你还想像以前一样越来越丑吗？你还想像以前一样脸上的痤疮继续生长下去吗？你还想像以前一样一下午跑五六趟厕所吗？你还想像以前一样鼻涕不断，继续陪伴鼻炎吗？你还想像以前一样只有170cm的身高吗？你还想像以前一样别人的话需要听两遍或多边才能听清吗？你还想像以前一样有时候看不清东西吗？你还想像以前一样身体缺钙抽筋吗？你还想像以前一样身体没有力气，想趴着睡着不想起来吗?你还想像以前一样精神萎靡，没有精气神吗？你还想像以前一样腰酸背痛吗？你还想像以前一样怕热怕冷吗？你还想像以前一样失眠多梦吗？你还想像以前一样反应迟钝，别人说话你要很长时间去理解和应答吗?你还想像以前一样不敢跟陌生人和家人说话交流吗?你还想像以前一样继续智商低下吗?你还想像以前一样说话忘词吗？你还想像以前一样脾气暴躁吗？你还想像以前一样一直没有斗志吗？你还想像以前一样注意力不能集中吗？你还想像以前一样做猥琐的自己吗？你还想像以前一样继续患着前列腺炎吗？你还想像以前一样继续肾虚吗？难道你就不想扔下这些症状，奔向你的成功之路吗？我们不是说好要做个硬汉，成为一个男神吗？我们不是说好要清心寡欲，拥有健康身体，拥有事业和人心吗？问问自己，喜欢现在的生活吗？,0,0,0,0,0,0,0,0,0,0
79,顶,0,0,0,0,0,0,0,0,0,0
80,顶,0,0,0,0,0,0,0,0,0,0
81,顶,0,0,0,0,0,0,0,0,0,0
82,顶,0,0,0,0,0,0,0,0,0,0
83,刷牙的痛苦难以下咽,0,0,0,0,0,0,0,0,0,0
84,顶,0,0,0,0,0,0,0,0,0,0
85,感恩,0,0,0,0,0,0,0,0,0,0
86,感恩,0,0,0,0,0,0,0,0,0,0
87,#2月10日新型肺炎疫情#0210这是一个3w多人小区的求助武汉市洪山区和平街东方雅园小区，常住居民30000余人。截至今日，通过小区业主的聊天才得知，目前小区内有27名确诊病例，死亡4例，另外疑似病例60余例，还有发烧人员，确诊和疑似加起来破百人。小区居民大多数是廉租房，经济房住户，小区人口庞大，疫情防控非常困难：1、物业人手有限，社区更顾不上小区管理，还有很多独居老人可能患病的无法与外界联系上报，昨天在小区里有位患病老人睡在小区垃圾桶旁被遗弃。2、小区大，小区居民素质参次不齐，有居民不带口罩外出，还有聚集在小区内聊天的。更有患病者报复性在小区内驾车，乱吐口水，虽已报警，但警方称缺乏证据，上门执法困难。3、截止到目前，小区仅公布了一次疫情，而且公布渠道并不广泛，大部分小区居民是不知道目前小区内疫情的严峻！而且，并没有人上门或者其他的方式登记居民体温！！！4、只靠物业防控三万多人的小区，实在困难。希望小区确诊和疑似病人，独居老人全面排查救助。切不能出现低收入人群报复社会的悲剧！东方雅园全体业主请求关注！#湖北确保未收治患者人数清零##中央赴湖北指导组要求应收尽收##确保疑似确诊病例应收尽收应治尽治#[/cp],0,0,0,0,0,0,0,0,0,0
88,帮不了你啊,0,0,0,0,0,0,0,0,0,0
89,心有余而力不足帮顶,0,0,0,0,0,0,0,0,0,0
90,政府出手吧,0,0,0,0,0,0,0,0,0,0
91,我也是小区业主，希望大家能看到我们小区，惨不忍睹啊！,0,0,0,0,0,0,0,0,0,0
92,应收尽收刻不容缓！湖北确保未收治患者人数清零http://tieba.baidu.com/p/6483303118你们的希望？,0,0,0,0,0,0,0,0,0,0
93,全体业主的呼声，帮顶,0,0,0,0,0,0,0,0,0,0
95,希望上级重视，把小区疑似病人和居家隔离的全部收治疗隔离,0,0,0,0,0,0,0,0,0,0
96,转发之后被T了。。。,0,0,0,0,0,0,0,0,0,0
97,转发大家,0,0,0,0,0,0,0,0,0,0
98,不传谣不造谣，帮楼主顶起来，给ZF辟谣或者救治。说好的360度无死角疑似清0呢？立下军令状10日前清查完毕然后推迟到11号，那这个3万多人的小区我怕是不属于武汉？或者楼主造谣？,0,0,0,0,0,0,0,0,0,0
99,被证实的染病患者应该自己主动去联系医院和社区，还要给政府部门打电话说啊！除了自己站出来去联系，旁人也木有什么办法啊！加油💪,0,0,0,0,0,0,0,0,0,0
100,小区管理可以只有一个出入口，不戴口罩不许在公共场所停留。没有措施，只会越来越严重。很多人不怕死吗？,0,0,0,0,0,0,0,0,0,0
101,难受啊,0,0,0,0,0,0,0,0,0,0
102,预言贴:印度某平民窟，会爆发新一轮疫情,0,0,0,0,0,0,0,0,0,0
103,豁,0,0,0,0,0,0,0,0,0,0
104,刀了,0,0,0,0,0,0,0,0,0,0
105,...这波他们在33层,0,0,0,0,0,0,0,0,0,0
106,这不需要预言就印度那情况是肯定,0,0,0,0,0,0,0,0,0,0
107,可怜啊。,0,0,0,0,0,0,0,0,0,0
108,膜拜大神,0,0,0,0,0,0,0,0,0,0
109,分享贴子原贴已被屏蔽或删除。来自：tieba.baidu.com/p/7327238252,0,0,0,0,0,0,0,0,0,0
110,双重突变就是同时开了嗜血和狂暴，杀伤力能不强吗？,0,0,0,0,0,0,0,0,0,0
111,不是双重突变，是三重突变！,0,0,0,0,0,0,0,0,0,0
112,截至2020年底，全球累计确诊人数超过8000万例,0,0,0,0,0,0,0,0,0,0
114,马上就要1亿了。（或许实际已经超了）,0,0,0,0,0,0,0,0,0,0
115,在SARS爆发前15年，国医前往英国深造呼吸学,0,0,0,0,0,0,0,0,0,0
