,评论内容
11,年前 买来 一周 挺不错 第一次 苹果 手机 感觉 质量 不错 屏幕 mate8 感觉 lcd 屏幕 外放 发现 手机 立体声 场 底部 出声 耳机 听筒 扬声 mate8 
12,买 这款 手机 预定 京东 自营 预定 时间 送到 手机 手感 顺畅 苹果 品牌 一段时间 追评 helliphellip 
13,苹果 手机 情有独钟 习惯 ios 系统 得心应手 特别 换成 8p 大屏 手感 不错 运行 流畅 
14,特意 一周 评论 贴 膜 加 壳 爪 机超 nice iOS 系统 流畅 木有     好多 评论 里 说 拆 快递 录 视频 hellip   事实证明 京东 京东 值得 信赖   发生 概率 倒霉 正好 发生 身上     电池 苹果 软肋 反正 刷刷 微博微信   听 音乐 充 OK 
15,外观 喜欢 大小 不想 带太大 手机 不高 购物 体验 运行 不快 满意 带安卓 两天 顺手 hellip 快递 超快 公司员工 挺 满意 
16,半个 月   感觉 没什么   银色 挺 好看   买 这款 手机 吃 鸡 helliphellip 平心而论 玩 刺激 战场 helliphellip 真的 超级 流畅 
17,物流 包装 损坏 不锈钢 架 分量 配 零件 质量 安装 颜值 质感 集 收纳 美观 一身 东西 做工 工业 感 组合 多变 想要 组都 乐趣 下回 还会来 需要的话 
18,评论 下单     朋友 说 谱     回来 网上 找 方法 检查         玩 吃 鸡     失望 玩 游戏 特别 棒     金色 好看         两天     感觉 很棒 
19,喜欢   力     超级 喜欢     顺手     打游戏 挺 流畅     吃 鸡   王者 荣耀   挺       电池 耐用 
20,拍照 效果 外观 很漂亮 不错 很快 不卡 喜欢 价格 划算 值得 购买 电池 用量 久 
21,显示 效果   很棒 屏幕 比前 几代 精细   运行 速度   很快 功能 便捷   拍照 效果   人像 效果 很赞   电池 续航   支持 无线 充电 感觉 爽 
22,看着 款 手机 挺久               本来 想着 SN 买         好像 京东 谱                 京东 下单           发货 真的 很快           京东 快递 赞           晚上 下单     第二天 下午 手机 送到             开箱 手机         iPhone8p 颜值 真的 特别 高         背面 玻璃 设计     真的 舒服             手机 系统     流畅 度         屏幕显示 效果       赞           几天 评价           手机 电池 佳     充满     玩 好久         很赞 
23,好刚 买 瑕疵 退货 前天 活动 金色 秒杀 买 外观 毛病 瑕疵 寄 激活 激活 挺快 不卡 说 打电话 没试 明天 再试 好评 原本 买 银色 朋友 买个 不想 买个 金色 感觉 金色 好看 审美 喜欢 说 包装 厚袋 包 包装 打一星 五星 
24,不错   高大   屏幕 不错   电池 不错   流畅   玻璃 面 设计 完美   不错   价格 算 便宜   满意 购物   凑够 字 累 哈哈哈哈 可爱 哈哈哈 
25,玩 下午 喜欢 苹果 好多 地方 喜欢 慢慢来 手感 一级 棒 玩游戏 画质 
26,品控 确实 不行 手机 后盖 缝隙 里 灰尘   胶水 摄像头 里 灰尘 电子产品 说 颜色 深空 灰比 颜色 确实 好看 适合 男性 显得 稳重 成熟 正面 熄屏 一瞬间 犹如 一件 艺术品 一体 感 强 iPhone 流畅 度 没话说 舒服 撑 5G 普及 一次性 到位 买 256G 物流 很快 隔天 
27,手机 收到 不错 查询 日期 电池 6S 强多 系统 流畅 没什么 太 价格 买下来 纪念 一款 home 键 手机 担心 质量 一段时间 没什么 毛病 
28,手机 一段时间 不错 暂时 早上 出门 满电 晚上 下班 回家 半多 电 玩游戏 生活 常用 APP 耗电 棒棒 哒 
29,  手感 不错   京东 买 第四个 手机 电子产品 京东 买 差评 办 全新   激活 升级 系统     唯一 缺点   升级   强制 升级 说 流畅 不错 
30,电池 续航 工作 晚上 睡觉 剩 30% 电量 像素 6s 高 hellip x 8p 之间 徘徊 良久 选择 8p 手感 
31,想到 降价 朋友 便宜 本来 犹豫 昨天 剩余 10 小时 害怕 错过 赶紧 下单 真的 美 朋友 下查 序列号 正品 喔 京东 接着就是 快递 真的 很快 超级 哈哈哈哈 完美 
32,一处 划痕 影响 带上 手机 壳 看不见 京东 自营 品质 算是 不错 价 入手 美滋滋 iPhone8plus   一款 超前 配置   美滋滋     喜欢   苹果   哈哈哈   开心   划痕 开心 激活   
33,入手 8P 终于 退休 一周 说 说 感受 相 8p 系统 流畅 电池 耐用 金色 特别 好看 物流 12 号 下单 13 号 收到 查 序列号 京东 满意 说 玩 手机 
34,手机 一个多月 运行 特快 保电 玩游戏 剩 30% 正品 希望 京东 棒棒 哒 灰色 不错 lsquo 简单 大方 大爱 买 值 开心 
35,手感 没什么 买 便宜 喜欢 黑色 一段时间 跟安卓 各有千秋 真心 流畅 免息 全款 买分 三期 
36,Apple   iPhone     Plus 美在 智慧 抗水 防尘 系统 灵敏 很快 卡顿 终于 超 喜欢 颜色 好看 杏色 米 黄 感觉 玻璃 亮 手感 送货 服务 上午 抢到 下午 点 到手 速度 支持 京东 商城 
37,"包装盒 打开 阻尼 感 说 无出其右 真的 恰到好处 深空 灰色 熄屏 状态 完美 价格比 港行 便宜 真的 值 系统 111 流畅 后续 112 113 想像 还会 提升 bug 越来越少 拍照 提升 续航 一整天 
 X 看好 顺便 提 抢到 一台 X 深空 灰色 号 首批 哈哈哈哈 "
38,屏 6s 换到 55 寸 8p 视频 打游戏 舒服 一台 经典 外观 8p 再战 几年 续航 6s 强多 喜欢 6s 续航 真的 无语 hellip 8p 好评 
39,全新 正品 朋友 官 换机 感觉 质量 差距 色调 触屏 水 深 软件 测 真假 立判 快递 小哥 不错 物流 
40,一个多月 性能 苹果 屏幕显示 真的 不错 感觉 周围环境 光来 改变 眼睛 看着 舒服 电池 算 耐用 玩游戏 一点 说 颜色 挺 喜欢 红色 耐看 
41,半天 我要 评价 机子 2019 年 月 生产 外观 划痕 摄像头 灰尘 颗粒 品相 完美 沙漏 验机 全新 机器 换 东西 百分百 原装 屏幕 东芝 不错 信号 满意 
42,一段时间 评价 外观 手感 更好 细腻 质感 本来 买 X 真心 受不了 刘海 买 8P 电池 个人感觉 好像 耐用 打开 原彩 显示 早上 七点 出门 吃 晚饭 回来 百分之四十 电量 微信 电话 少 打游戏 王者 荣耀 为例 四个 小时 实验 系统 用过 苹果 流畅 度 安卓机 出彩 部手机 SE 8PSE 依然 流畅 苹果 系统 满意 
43,喜欢 本来 打算 买 x 系列 这款性 比价 更高些 太 喜欢 太大 屏 系列 相 少 面容   ID 性能 并不比 x 系列 逊色 中国 红 特别版 喜欢 性格 8p 时间 尴尬 更火 生不逢时 喜欢 尺寸 合适 性能 很强 双置 相机 完美 
44,"忐忑 打开 手机 摸索 幸好 正品 评论 里 说 卡机 黑屏 
 次 京东 买手机 体验 不错 银色 干净 帅气 
 发黄 金色 好看 "
45,手机 一段时间 前 苹果 手 感觉 舒服 04 毫米 厚度 差距 plu 较大 单手 不太好 操作 helliphellip 外观 喜欢 说 手机 性能 说 流畅 性能 强 
46,京东   昨天 买   幸亏 买 x 8p 爽 屏幕 玩游戏 看剧 舒服 打起 字 特别 好使 手机 拿到 手机 一点儿 四处 检查 速度 闪退 挺   颜色 高大 尚 喜欢 不错 购物 
47,用安卓 想 试试 苹果 买 苹果 手机 8p 值得 买 拍照 清晰 屏幕 分辨率 电池 长时间 希望 续航 能力 增强 
48,担心 买到 手机 子 下单 晚上 睡觉 睡 收到 包装 激活 评论 里 说 手印 磨损 提前 激活 第一次 京东 买手机 新手 真的 出乎意料 满意 十几天 回来 追评 
49,久 评价 说 机器 懂 女生 电子产品 精通 机器 评价 拍 出货 京东 服务 到手 机器 伤 目前为止 机器 速度 电池 抗用 整体 满意 手机 买 可心 不错 行 吹毛求疵 非要 测试 测试 
50,买 iphone   x 8plus 之间 纠结 x 偏小 一点 更好 续航 8plus iphone     x 配置 价格便宜 售后 8p 双面 玻璃 好看 媳妇 开心 哈哈哈 满意 比安卓机 耐用 
51,物流 很快 包装 完美 满意 回来 第一 时间 笨 弄 久 设置 手机 特别 先用 一段时间 评论 总体 
52,苹果 6S 手机 挺 丢 想 换个 大屏幕 体验 到货 感觉 挺不错 流畅 刚用 发现 白色 挺 好看 照片 备用机 拍 
53,不错 jdi 屏幕 19 年 生产 买 大部分 jdi 屏幕 从安卓 转来 感觉 安卓 流畅 度 ios 感觉 ios 吹 神乎其神 超 流畅 买来 该关 养老 屏 技术 真的 成熟 喜欢 169 屏幕 看番剧 喜欢 视频 两条 大黑 QAQ 以路 身份 吃瓜 各大 手机 产商 大战 附上 几张 图 
54,屏幕 很大 分量 6S 换 8P 太大 很大 气 质感 查 序列号 保修 一年 时间差 几天 完美 检查 摄像头 进灰 手机 划痕 包装 拆封 客服 耐心 解答 4s 6s 8P 成 果粉 买 手机 图个 安稳 满意 
55,手机 挺 相比 很快 感觉 舒服 手机 屏幕 很大 东西 舒服 清晰 真的 特别 舒服 感觉 
56,纠结 好久 终于 下单 样子 喜欢 背面 玻璃 材质 手感 特别 特别 未激活 瑕疵 地方 买来 吃 鸡 唯一 想吐槽 包装 太 走心 随意 样子 磕 碰到 挺 
57,犹豫 久   优惠   入手   屏幕 色彩 棒   视网膜 技术   用安卓 系统     卡顿 现象     iOS 系统 吹得     流畅 度   无线 充电 棒   
58,"手机 20 天 评价 总体 比较满意 运行 流畅 电池 耐用 6s 好多 
 手机 很漂亮 手感 比较满意 
 玻璃 后壳 沾 指纹 "
59,买 划算 包装 简单 特地 十来天 评价 显示 效果 屏幕显示 效果 清晰 运行 速度 运行 速度 很快 玩游戏 顺畅 拍照 效果 拍照 效果 好像 素好 拍 好看 电池 续航 反正 一冲查 新机 
60,发货 很快 银色 很漂亮 屏幕 很爽 到货 第二天 zh 画面 颜色 声音 运行 速度 很快 不卡顿 拍摄 照片 色彩 不错 听歌 戴上 耳机 音效 很棒 爱 银色 背壳 真的 好看 白色 朋友 喜欢 
61,"用到 期待 质量 杠杠 双十 一拍 
 价钱 实惠 挺 好看 手机 性能 挺 外观 
 漂亮 爱好 手感 满意 手感 
 运行 速度 手感 速度 "
62,真的 期待 好久 终于 下手 支持 京东 送货 隔天 期待 打开 包装 不错 期待 值得 先用 一段时间 苹果 苹果 高 信赖 不错 喜欢 
63,凌晨 下单 下午 收到 第二部 苹果 手机 iphone5s 换到 8p 刚上 手 8p 手感 厚重 握感 扎实 做工 精致 背部 玻璃 面板 手感 一流 iOS 系统 一贯 流畅 开 三个 大型 游戏 顺畅 iPhone8p 值得 信赖 
64,昨天 激活 前 仔细 外观 充电 口 包装盒 配件 完整 渠道 查 包括 官网查 激活 流畅 6p 两年 换 8p 体验 快递 叔叔 拆开 仔细检查 
65,正品 机 段时间 官方 查 正品 操作 流畅 拍照 色彩 正 玩游戏 吃 鸡 王者 农药 完美 唯一 不太 满意 原装 充电器 充电 比较慢 玩游戏 稍微 费电 待机 3% 电 物流 拍 第二天 送到 
66,拍照 7P 提升 鲜艳 发热 续航 测试 人像 模式 改进 不错 摄像头 没灰 缝隙 做工 完美 
67,上午 10 点 下单 下午 1730 很快 买 手机 吃 鸡 流畅 拍照 清晰 18 年 12 月底 生产 买回来 自已 激活 正品 外观 很漂亮 满意 够物 
68,手机   拿到 手机 贼 激动   本来 买 官 换机 翻新 机看 评论 吓死 拿到 查看 一点   续航 像素 还原 现实   处理器 强大 一点 不卡下 吃 鸡 玩 贼 爽 外观 完好无损 包装 样 一般般 第一次 苹果 体验 
69,"显示 效果   像素 
   运行 速度   运行 内存 
   拍照 效果   自拍照 美美 
   电池 续航   电池 耐用 
     宝贝 好用 两天 评价 物流 "
70,手机 上午 买 下午 很快 手机 降价 买 性能 不错 起码 体验 感 流畅 京东 官网 买 正品 黑色 超酷 适合 男生 8plus 做工 精致 玻璃 材质 无论是 摸 舒服 多字 可不可以 优秀 评论 
71,手机 不错 想 买 黑色 断货 只能 买 银色   白色 不错 好看   查   正品     第一次 ios 系统 不太 
72,特意 几天 评价 优点 金色 颜值 妥妥 吸引 眼球 运行 速度 超快 A11 芯片 力 相机 效果 很棒 电量 电池容量 值得 信赖 重度 一充 不失 总体 挺 满意 
73,好久     418 优惠 买 省 一千     到手 检查 外观 激活     喜欢     香槟色 适合 女性 大气 上档次     后续 有待 研究 开发   快递 小哥 力   两天 追评 
74,评价 买 问 同事 说 京东 电子产品 买 下单 手机 手机 图片 副 手机 买回来 同事 说 样子 很漂亮 喜欢 
75,说 物流 特别 特别 当天 早上 买 下午 收到 说 物流 严谨 快递 会发 验证码 贵重 用品 这样一来 拿错 做法 拿到 手机 迫不及待 试 包装 损坏 送 原装 耳机 充电器 版型 好看 拍照 特别 手机 到手 全新 未 拆封 查 序列号 全新 手机 昨天 拍 速度 超级 价格 实惠 推荐 购买 物流 快递 员 负责 手机 整体 感觉 很漂亮 系统 操作 流畅 手机 整体 手感 性价比 高到   iPhone     一代 玻璃 背板 iPhone   背部 终于 完璧 无瑕 人略感 意外 iPhone     双机 背部 苹果   logo     iPhone   标识 图案 文字 这样一来 整机 显得 简约 说 照相 像素 亮点 照相 iPhone     Plus 采用 后置 双 1200 万 像素 摄像头 模式 拍摄 中 新增 ldquo 人像 光线 功能 rdquo 用户 控制 光线 改变 成像 效果 真的 炒 鸡 满意 
76,iPhone 吹 开 后台 卡顿 现象 屏幕 清晰度 高 触感 一流 网速 网络 不好 网速 音质 不用说 清澈 温柔 系统 运行 速度 久 依然 流畅 
77,运行 平稳 系统 运行 速度 很快 尺寸 金属 质感 符合 人机工程 学 长时间 运行 发热 现象 充电 速度 很快 待机时间 很长 连贯 通话 小时候 待机 48 小时 价格 赶上 双十 合适 
78,"手机 外形 瑕疵 美感 两天 电池 耐用 运行 流畅 玩游戏 音质 低音 回响 效果 很棒 出色 接受 事情 手机信号 特别 不好 稳定 两格 信号 很难 满格 信号 情况 优点 拍照 效果 特别   运行 流畅   性能   外观 漂亮   相机 像素 高   手感 舒适 nbsp 
 缺点 续航 三星 63 寸   苹果 55 寸   果粉 大屏   耳机 插孔   听 音乐 充电 兼得 nbsp "
79,手机 系统 运行 流畅 不卡顿 屏幕 分辨率 高 长时间 电池 发热 现象 待机时间 不错 手机 外壳 工艺 质感 手机 大小 刚刚 合适 符合 人机工程 完美 体验 
80,信任 京东 平台 手机 电脑 京东 购买 朋友 家人 京东 买 收到 货后 急 冲冲 拆开 差点 摔 妈呀 心在 滴血 吓死 宝宝 拆开 设置 试用 整体 真心 不错 买 深灰色 原本 说 19 号 货 第二天 调过来 真的 嗨 森 换 手机 还会 手机 真心 不错 后续 
81,喜欢 京东 购物 理由 送货 快递 服务 京东 买过 两个 手机 不错 买过 ipad 挺 买 一部 8p 送给 家人 送货 准时 力 京东 首要 强项 喜欢 7p 黑亮 色 外观 诱人 爱不释手 感觉 妹妹 喜欢 8p 黑色 果断 入手 激活 特意 试用 两天 感觉 暂时 过像 评论 里 说 卡 黑 灰色 外观 很漂亮 画面 清晰 流畅 音质 不错 希望 能用 久 一点 ⊙ forall ⊙ 
82,正品 流畅 快递 速度 显示 很棒 无色差   运行 速度   滑行 速度 敏捷   拍照 效果 清晰   电池 续航   开机 充满 一半 电 电池 耐用 玻璃 屏 照相 拿到 手上 好看 手感 不错 性价比 高   运行   小巧 精致   拍照 摄影 清晰   不卡   心情   手感 很棒   值得 入手   价格 实惠 苹果 失望 京东 值得 信赖 放心 购买 
83,"苹果 新 处理器 A11 运行 速度 满意 手机 运行 流畅 
 背面 采用 玻璃 材质 高大 尚 握持 手感 
   缺点 创新 iPhone   6s 多大 区别 电池容量 太 少 玻璃 材质 易碎 "
84,效果 特别 运行 流畅 玻璃 后壳 手感 颜色 显得 浅 看着 挺 新颖 大小 正合适 单手操作 压力 屏幕 效果 飞快 真不错 
85,"说一说 买 iPhone 
 久用 不卡 三年 压力 需 更换 电池 
 不落 时 13 年 iPhone5s 王者 荣耀 更新 ios12 反观 机海 战术 厂商 
 封闭系统 提高 安全性 支付 普及 问 后台 病毒 不法分子 能耐 苹果 
 流畅 apple 最新 处理器 相比 同期 安卓 旗舰 处理器 差距 iOS 安卓 流畅 差距 
 做工 精致 标配 防水 6s 标配 3dtouch 手机 久 划痕 
 
 说 是从 整体 看非 举出 特例 喷 请 住嘴 支持 安卓 快快 离开 页面 "
86,配送 员 负责 大赞 第一次 苹果 多功能 熟悉 效果 不错 64G 够用 用惯 安卓 总 感觉 ios 麻烦 下载 输入 密码 hellip 请教 大神 苹果 跟安卓 手机 蓝牙 将安卓上 数据 传到 苹果 存 电话号码 疯 掉 hellip 
87,手机 摔坏 屏 咬咬牙 换个 苹果 降价 选 8plus 几家 电商 价格 京东 实在 送货 时间 速度 果断 下手 凌晨 点 拍 第二天 下午 收到 太 神速 新机 好用 手感 屏幕 大看 视频 很爽 满意 一百分 
88,昨晚 11 电 下单 今早 点多 送到 真快 包装 国行 正品 价格 电商 里算 最低 深空 灰 典雅 深邃 做工 精致 用用 评论 机器 国行 官网 验证 满意 棒 苹果 终究 苹果 系统 外观 速度 没得说 喜欢 X 刘海 总 怪怪的 深空 黑太 适合 男生 大气 成熟 稳重 京东 服务 真的 没得说 
89,特意 几天 评价 优点 深灰色 颜值 妥妥 吸引 眼球 运行 速度 超快 A12 芯片 名不虚传 相机 效果 很棒 电量 重度 一充 不失 总体 挺 满意 
90,手机 外观 特别 美 特别 大气 手感 特别 没什么 瑕疵 官网查 正品 运行 速度 很快 手机 功能 特别 多比 买 6p 多功能 活动 买 特别 划算 看上 赶紧 入手 
91,记不得 京东 买 苹果 手机 这台 8p 京东 买 第二台 去年 买 max 买过 系列 手机 特意 买 白色 买 4s 黑色 包括 max 黑色 8p 黑色 想 白色 好看 细腻 个人感觉 xr 处理器 xr 比不上 8p A11 仿生 芯片 带动 软件 市场 压力 剩余 helliphellip 想 体验 iPhone 超 8p 经济 跟得上 想 体验 高端 刘海 系列 买 max 更好 
92,挺 东西 特别 好配 特别 好看 手机 壳 完美 喜欢 粉粉 仙儿 颜色 选择 手机 太美 长辈 入手 金色 黑色 愉快 购物 经历 买 手机 屏幕 亮点 幸好 激活 换货 
93,隔天   预计 早   快递 员 态度   点赞   特地 几天   二手 i7   不好   真 适合 买 二手   这台 很棒   一点 后悔   发烫   电池   激活 时间   升级   激活 时 版本   目前为止 不错   希望 掉价 太快   心脏 受不了   i8 值得 入手   没传 不堪   64 够用   照片 网盘   省内 无线 流量   歌曲 不用 存   多用 40G   去年 抽 618 优惠券     买 台 电脑   抽上   哈哈哈   没关系   手机 好用   夜晚 拍摄   光线 不好   技术 渣   红色 好看   女生 合适 
94,快递   昨天下午 下单   中午   快递 包装 真的   外面 盒子   泡沫 保护   买 爸爸     拍照 效果   新机 电池 续航 不错   激活 前 检查 机器 背面   瑕疵   满意   爸爸 一段时间 
95,头 苹果 手机   系统 熟悉   用料 十足 音效 好像 素 没传 玄 正品   熟悉 评论 
96,手机 毛病 希望 强迫症 小小的 瑕疵 接受 黑色 很漂亮 留 指纹 弄 手机套 保护 京东 力 
97,京东 买 第三个 苹果 手机 信赖 京东 品质 超快 京东 配送 特地 评价 总体 感觉 满意 手机 外观 查 序列号 保修 日期 正品 手机 运行 流畅 屏幕 够 视频 很爽 唯一 缺点 无线 充电器 赠品 
98,"挺 满意   安卓机   苹果   难 琢磨   
 好看   当天 下单   第二天   续航   正 充电   多久   耳机   送 接口   适配 耳机   满意   背面 颜色 边框 好看   背面 颜色 稍微 浅   追评     客服 态度 "
99,老公 买   不错   喜欢   欢喜   打开 时 屏幕 特别 指纹   算了   太 在意   试 序列 码   京东   朋友 放心     先 一段时间   屏幕 够   确实 xm 屏幕 宽 一点   手感 不错   一代 home 键   手机 速度 不错   玩游戏   不错   以观后效 
100,京东 一如既往 厉害 支持   刚刚 拿到 网上 说   缝隙     感觉 缝隙 果断 激活   体验 不错 手机 大屏幕     比小 屏幕   舒服 玩游戏   看电视     感觉 舒适 买 套子   摔 
101,显示 效果   好比 6s 大气   运行 速度   很快 玩游戏 一点 不卡   拍照 效果   喜欢 拍照   电池 续航   一充     性价比 高 
102,"外观 漂亮 漂亮 苹果 实体 按键 漂亮 一款 
 性能 运行 流畅 
 送给 老婆 喜欢 按钮 这款 喜欢 "
103,运行 速度 没话说 屏幕 清晰度 高 喜欢 用惯 安卓 系统 拍照 清晰 发 几张 图是 朋友 帮 拍 机子 拍 肯定 更好 特别 满意 电池电量 希望 给力 
104,完美 快递 很快 京东 小哥 服务 收到 产品 检查一下 包装 打开 配件 齐全 外观 完好 开机 设置 查下 序列号 朋友 放心 购买 
105,AppleiPhone8A186364GB 金色 新机 破损 缺陷 外观 满分 挺 沉 官 网查 手机 流畅 相机 播放器 软件 用起 流畅 棒 心情舒畅 第二天 官网 公众 号查 正品 棒 
106,618 当天 买 平时 便宜 200 红色 颜色 很正 喜欢 大小 合适 屏幕 清晰度 挺高 关键 系统 很快 一点 不卡 拍照 效果 不错 64G 够不够 用用 两天 希望 后续 流畅 
107,入手 第一个 苹果机 买 真的 纠结 久 hwp20pro 拍照 真的 超 好看 价格 竞争力 xm8 说 处理器 选择 款 是因为 好奇 顺便 想 ios 区 游戏 小伙伴 生活 状态 TT 总体 手机 手感 重量 红色 很炫酷 音质 听 舒服 玩 吃 鸡 环绕 感 很棒 电池 续航 感 jio 反正 手机 打游戏 耗电 肯定 一点 好像 没什么 补充 酱 啾 咪 
108,不错 6SP 太卡 苹果 说法 解释 太 牵强 说法 容量 完 忍 买下 戴 套 贴着 膜 手机 速度 拍照 不错 手机 频率 高 足够 工作 生活 轻松 应对 再用 
109,第一次 买 机器 感觉 真的 不错 相 SE 相机 iPhone     夜间 拍照 强 太 亮度 提高 支持 两倍 无损 变焦 真的 很棒 流畅 自带 充电器 充电 速度 很慢 
110,物流 速度 上午 10 点 下单 下午 点钟 快递 外包装 完好无损 手机 外观 痕迹 磨损 磕碰 插卡 激活 拿到 手机店 验机 机子 国行 公开 版 第一次 激活 第一次 充电 生厂 日期 2019113 出厂 11 天 新机 小时 愉快 购物 体验 
111,上午 买 下午 神速 快递 点赞 想 买 红色 无货 买 金色 很漂亮 6p 对系统 熟悉 手动 安装 顺利 容量 安装 app 太 6p 电池 怕冷 款 明年 冬天 验证 
112,想 入手 苹果 手机 很久 第一次 苹果 系统 真心 安卓 系统 还好 前段时间 忍住 剁 手 真值 下降 700 800 块 大洋 4799 元 毫不犹豫 下单 到手 拆 包验 机国行 正品 满意 满意 满意 春节 老婆 换 一台 
113,很漂亮 速度 6s 提升 外放 音质 6s 不错 低音 效果 屏会 震动 影响 性价比 超高 值得 拥有 
114,屏幕 通透 色彩 鲜艳 外观设计 新潮 摸 手感 硌 手 特别 喜欢 手机 操作系统 质量 手感 摸 舒服 做工 用料 扎实 绝佳 商品 超级 好用 宝贝 
115,降价 一千多 激动 体验 好玩 游戏 流畅 不卡顿 IOS 系统 特别 很棒 
116,一个多月 评价 买 老公 换 8P 看着 双摄 屏幕 习惯 颜值 貌美 系统 运行 流畅 拍照 效果 电池容量 轻度 50% 毛病 满意 京东 白条 期 免息 划算 送货 准时 满意 信任 京东 
117,电池 经用   比小 手机 竟用   5498 入手   x 纠结 久   毅然决然 选择   性价比 高   手感   玻璃 屏   查 串号   激活   全新 机   续航 真的 厉害 
118,说 几点 心得 开封 试用 天 手感 不错 品质 没套 壳 贴膜 确实 舒服 官网 查询 质保 期 正品 4CPU 版本 高通 版本 貌似 信号 想象 intel 芯片 信号 差得多 可怕 买 一份 京东 碎屏 购物 心得 补充 谢谢 
119,手机 很漂亮 老婆 喜欢 充电器 充电 速度 很快 买 快充 充电器 几天 发现 手机 正品 快递 速度 杠杠 第二天 收到 
120,显示 柔和 清晰度 高 指纹 解锁 灵敏 双面 玻璃 手感 用安卓 系统 苹果 系统 会儿 熟悉 
121,哈哈哈哈 十点 拆开 设置 东西 屏幕 没关 弄 两点 44 电 开 开心 不卡 新 还好 中 京东 自营 
122,久   评论   终于 下单   到手 满意   运行 速度 很快   选 银色   好看   这是 第一款 苹果 手机   顺手   手小   没觉 太大   一个月   
123,苹果 依然 是现 做工 没得说   系统 流畅 度 一流 不论是 系统 软件 运行 真的 好用   屏幕显示 效果 更是 一流 
124,"夸赞 京东 物流   棒   号 下单 五号     快递 哥哥 态度 
 收到 快递 拆开   包装   新机 破损 缺陷   外观 满分   挺 沉   激活 官 网查   激活 
 激活   手机 流畅   相机   播放器   软件 用起 流畅   棒   心情舒畅 
 激活 第二天   官网 公众 号查   正品   棒 
 评论     运气   失望 
 仙女 运气     图 "
125,发布 想到 X X 真机 成熟 明年 Xs 估计 好点 8P 到手 惊艳 玻璃 后盖 颜色 手感 容量 选 自由 升级 系统 iOS11 能用 三四年 
126,苹果 8plus 质量 不错 查 序列号 正品 无疑 手感 反应速度 卡顿 现象 电池 充电 速度 希望 用久 一点 整体 感觉 不错 京东 物流 
127,说 外观 不错 前 屏幕 没多大 区别 真的 挺 好看 喜欢 手感 大气 
128,买 到手 媳妇 一段时间 问 问 媳妇 特意 评论 外观 拿到 手 确实 挺 漂亮 背部 颜色 适合 女神 性能 说 媳妇 退下 6s 玩游戏 王者 荣耀 吃 鸡 呼呼 不卡 续航 媳妇 6s 出门 多半天 工夫 反正 充电 频繁 8p 出门 不带 充电 宝 多花钱 苹果 手机 真的 时间 长 一点 卡而安卓 手机 更新换代 淘汰 总得 评价 
